"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,7.2,21.4,0.2,,,ESE,20,10:13,18.1,52,1,WSW,9,1025.9,19.0,72,,NE,15,1025.7
,2021-09-2,4.3,21.1,0,,,NNE,52,15:04,15.0,66,, ,Calm,1029.1,19.7,72,,NNE,37,1023.3
,2021-09-3,10.9,21.6,0,,,NNE,41,15:01,18.3,76,,NNE,19,1022.4,21.1,66,1,NNE,31,1016.7
,2021-09-4,13.0,17.7,0.2,,,NW,33,08:48,17.6,72,8,WNW,13,1016.4,15.4,95,7,NNE,19,1014.2
,2021-09-5,11.7,14.6,19.4,,,W,30,11:17,13.2,85,8,W,11,1011.2,10.8,84,8,NW,7,1013.5
,2021-09-6,4.0,19.0,5.6,,,SSW,56,09:19,14.6,41,,SW,33,1022.9,18.3,30,,S,26,1024.1
,2021-09-7,0.7,18.3,0,,,ESE,35,13:41,14.7,46,,W,9,1024.6,16.7,58,,ESE,17,1023.9
,2021-09-8,4.1,19.4,0,,,NE,31,12:17,13.8,73,,SW,7,1030.9,17.6,65,,NE,17,1025.4
,2021-09-9,3.9,25.9,0.2,,,N,33,20:44,19.2,30,,NW,11,1023.0,23.6,27,,NW,15,1017.5
,2021-09-10,13.3,21.7,0,,,S,43,03:46,15.8,68,8,ESE,9,1022.2,15.9,64,8,NE,13,1021.1
,2021-09-11,6.4,28.8,0,,,NW,52,11:12,20.4,37,7,ENE,7,1013.3,28.4,14,,NW,19,1006.5
,2021-09-12,17.0,18.5,0,,,SSE,46,11:15,18.0,66,,SE,17,1002.8,16.2,78,8,SSE,15,1004.0
,2021-09-13,5.7,16.0,0,,,SSE,44,16:25,12.9,56,8,S,20,1015.7,14.6,54,7,SSE,24,1017.0
,2021-09-14,6.2,16.0,0.4,,,SSE,46,14:00,12.7,59,8,SSW,22,1025.1,14.5,59,5,S,30,1024.1
,2021-09-15,4.2,16.1,0,,,SE,33,11:49,12.8,55,8,SSW,13,1026.3,14.7,60,4,SSE,20,1024.0
,2021-09-16,7.6,15.7,1.0,,,ESE,26,13:02,13.3,66,,SW,13,1025.3,15.3,64,,ESE,15,1022.3
,2021-09-17,3.5,22.2,0,,,NNE,39,14:30,15.0,62,,NNE,13,1020.9,19.1,63,,NNE,30,1014.4
,2021-09-18,13.8,25.0,0,,,W,57,14:31,22.1,49,1,NW,24,1010.6,24.4,23,,W,20,1009.4
,2021-09-19,3.8,22.6,0,,,NNW,44,12:51,16.4,42,,N,13,1019.0,21.5,27,,NW,20,1014.0
,2021-09-20,9.6,24.7,0,,,W,72,14:17,21.0,32,,N,15,1009.0,18.1,38,8,WSW,35,1008.2
,2021-09-21,3.1,17.4,0,,,SSW,56,11:06,13.6,40,,SSW,22,1017.1,15.4,52,,SSE,28,1018.7
,2021-09-22,2.2,17.0,0,,,ENE,22,12:46,15.0,48,,SSE,7,1023.9,16.1,55,,ENE,17,1020.7
,2021-09-23,4.6,26.1,0,,,NE,35,13:41,15.8,65,,ENE,9,1017.8,20.6,60,,NE,22,1011.9
,2021-09-24,9.7,26.9,0,,,WNW,48,12:27,21.9,38,,NW,17,1010.2,25.6,22,4,WNW,20,1005.3
,2021-09-25,11.3,13.9,0,,,SE,41,00:45,13.7,62,8,SSE,20,1016.3,12.7,64,8,SSE,19,1018.6
,2021-09-26,6.0,15.7,0.4,,,SE,31,11:18,12.8,45,,SSW,17,1028.1,14.7,53,1,SE,19,1027.1
,2021-09-27,7.0,18.0,0,,,NNE,43,15:16,14.9,59,,ENE,9,1025.8,17.1,59,,NE,28,1020.6
,2021-09-28,5.3,21.0,0,,,NNE,39,14:23,17.1,58,2,NNW,9,1019.9,20.3,58,,NNE,28,1014.9
,2021-09-29,9.3,17.8,0,,,NNE,20,18:37,16.6,82,8,SE,11,1017.2,16.0,92,8,SE,7,1013.9
,2021-09-30,14.8,24.5,8.2,,,NE,43,12:32,16.7,81,8,NNW,9,1010.2,19.7,60,8,NE,19,1006.8
