GLon,GLat,SpType,KMag,Lum
97.18594227,-59.18728868,F,1.9116605392156885,2.1308778054892983
63.11597008,-75.95800596,K,3.41,0.54
112.09002819,-22.92755892,B,-0.030170454545454518,436.65
320.79308993,-63.4153079,F,1.57,9.17
337.89776128,-72.86166993,G,1.775935085007729,0.644020118353425
99.21832923,-56.54179923,K,-0.033235294117647106,0.582456178411574
106.8202104,-41.22316218,K,3.78,0.49
108.71287591,-35.56402892,M,0.5756497175141247,0.06896794895596911
111.57651315,-25.15214792,G,1.775935085007729,0.644020118353425
321.80516618,-64.34021167,F,2.61,2.63
113.90544157,-15.03086726,A,0.18,54.66
350.7493853,-75.97480172,K,-0.033235294117647106,0.582456178411574
51.43681538,-77.52633169,K,-0.033235294117647106,0.582456178411574
96.13532589,-60.53821247,K,-2.01,76.69
114.71613346,-11.26143289,K,-0.033235294117647106,0.582456178411574
338.74305022,-73.17656908,F,1.4,8.41
92.77923123,-63.88504555,K,-0.033235294117647106,0.23
112.0002647,-23.47789171,G,-2.63,173.22
108.02779304,-37.85659811,G,2.35,3.38
101.6969712,-52.74179515,K,-1.81,67.94
323.43593631,-65.68965852,G,1.775935085007729,0.644020118353425
104.27117814,-47.6980313,F,1.79,6.3
47.75973621,-77.87882981,G,2.58,2.26
330.51049133,-69.99981981,G,-0.17,20.14
79.40288338,-71.80005551,F,2.81,1.93
336.19244892,-72.36913882,G,2.55,1.96
332.11794002,-70.75537449,F,1.3,9.19
323.69141225,-65.91085423,G,1.775935085007729,0.644020118353425
112.90941693,-19.73453828,A,0.96,23.39
98.50343588,-57.75485022,K,-0.033235294117647106,0.582456178411574
114.98043107,-10.1424612,B,-0.030170454545454518,16034.635778185937
84.70180038,-69.4520785,F,1.74,6.48
109.09318571,-34.57821027,F,0.82,12.89
77.13003557,-72.65036464,G,1.09,5.15
103.84862106,-48.70488355,K,-1.27,39.7
326.10816625,-67.58708109,F,1.9116605392156885,2.1308778054892983
305.96810395,-37.76407513,G,3.73,0.63
71.7909349,-74.25114781,F,1.56,7.87
118.01642642,4.83256389,O,-1.0,31879.725493750575
115.46696852,-7.82906956,A,1.1430317460317458,18.940752635329417
108.80577796,-35.62585775,F,1.15,11.37
116.51474322,-2.67606304,K,-1.88,77.95
93.68120101,-63.24967658,K,-0.033235294117647106,0.582456178411574
308.33797841,-44.38735298,G,3.7,0.644020118353425
37.59026098,-78.50580881,K,-0.033235294117647106,0.582456178411574
316.43703908,-58.93852116,K,4.84,0.11
337.43293745,-72.85137076,K,-0.033235294117647106,0.582456178411574
105.73125307,-44.49674001,F,1.9116605392156885,2.1308778054892983
319.48858134,-62.36490382,G,1.19,8.12
97.4257303,-59.26318865,G,1.775935085007729,0.644020118353425
306.61754281,-39.74198382,A,1.49,13.2
106.23678434,-43.24888197,K,4.47,0.18
310.66101958,-49.67575327,G,1.775935085007729,4.06
96.81431693,-60.04808946,K,-0.033235294117647106,0.582456178411574
309.3340231,-46.81635938,K,3.85,0.47
117.04868616,-0.11472623,G,2.86,2.02
115.78231875,-6.4433444,B,-0.030170454545454518,16034.635778185937
311.73304451,-51.78673481,F,1.22,10.98
115.405684,-8.30655351,K,0.23,11.16
328.52079959,-69.10286141,G,1.775935085007729,0.644020118353425
113.64930703,-16.70244928,A,0.15,116.42
26.0447542,-78.73713848,K,-1.41,45.72
308.27153258,-44.28074834,F,2.11,5.21
108.1837799,-37.87892094,F,0.82,14.44
105.93229357,-44.20499536,K,3.85,0.35
110.16330307,-31.21736597,A,1.78,12.49
111.77142605,-24.9923881,G,0.59,9.1
80.84202145,-71.43919365,G,2.71,1.84
117.9816603,4.4633636,K,-3.79,280.57
111.53860998,-25.99817,K,4.17,0.27
322.0066174,-64.76853495,K,-0.033235294117647106,0.582456178411574
110.82085569,-28.855077,M,0.5756497175141247,0.06896794895596911
15.12801289,-78.53670523,A,1.79,17.19
106.3011176,-43.36687484,K,-0.033235294117647106,0.582456178411574
111.44546422,-26.42620259,F,1.9116605392156885,2.1308778054892983
82.75021954,-70.64754535,G,2.61,2.21
92.25451064,-64.75453242,G,3.75,0.66
84.28214234,-69.92561495,G,1.775935085007729,0.644020118353425
115.10047826,-10.02246253,M,0.5756497175141247,0.06896794895596911
109.5280237,-33.66939402,K,4.21,0.35
42.14264122,-78.41593875,A,1.1430317460317458,18.940752635329417
