GLon,GLat,SpType,KMag,Lum
221.73971213,-72.7539956,G,1.6839170124481337,1.380038903002871
144.7571473,-35.24930676,K,-0.04650301464254959,0.41048728276231017
194.11320776,-70.63078565,K,-1.72,66.4
134.22024457,-6.83651335,A,1.2490660592255145,22.47351699261019
143.02568971,-31.42111181,A,1.2490660592255145,22.47351699261019
214.58687291,-72.59608789,F,1.9239287984742528,2.523845325227217
155.44904559,-51.89651895,F,2.09,5.22
144.54771724,-34.74260276,G,1.6839170124481337,1.380038903002871
130.06935413,6.49325753,A,1.2490660592255145,22.47351699261019
148.22943325,-41.7864145,F,2.35,3.53
197.38455302,-71.1062929,K,-0.04650301464254959,0.41048728276231017
144.07968587,-33.70916227,F,1.9239287984742528,79.33
125.99194651,18.89118829,A,1.45,16.03
133.43752864,-4.28074728,B,0.14210084033613443,21175.957257581063
155.71362004,-52.15851979,K,4.39,0.14
202.57894609,-71.73149573,K,3.64,0.32
134.7260846,-8.33712803,A,1.2490660592255145,22.47351699261019
201.86386839,-71.6409514,G,1.6839170124481337,1.380038903002871
132.91228408,-2.5670764,O,-1.0,56336.00236019156
259.6307092,-68.56442004,G,2.22,2.98
173.48789555,-64.76391723,K,-0.04650301464254959,0.41048728276231017
187.58726573,-69.28540316,F,1.7,8.58
140.5475677,-25.19846608,A,-0.27,79.95
145.87918176,-37.35677457,K,-0.04650301464254959,0.41048728276231017
190.99553142,-69.99539477,F,1.9239287984742528,2.523845325227217
267.78500309,-65.96541437,F,1.29,10.76
131.32955728,2.54045232,B,0.14210084033613443,21175.957257581063
208.30972974,-72.20267926,F,1.75,9.41
145.32747814,-36.23113156,G,1.6839170124481337,1.380038903002871
262.95731691,-67.60408797,G,3.47,0.82
181.81370473,-67.76070399,M,5.79,0.02
268.72899125,-65.58841876,F,1.9239287984742528,2.523845325227217
143.52170876,-32.35882726,K,-0.04650301464254959,0.41048728276231017
279.26447754,-60.11176802,G,-2.17,107.11
185.67015361,-68.80547952,K,-1.18,39.57
139.80284553,-23.18065784,A,1.2490660592255145,22.47351699261019
132.67881329,-1.7634645,B,0.14210084033613443,21175.957257581063
137.855763,-17.73593221,F,2.65,2.55
272.93982158,-63.72435165,K,-0.04650301464254959,0.41048728276231017
149.87715292,-44.33550192,K,-0.59,20.55
137.26695065,-16.01215244,G,1.28,8.19
232.30815776,-72.40747281,G,1.6839170124481337,1.380038903002871
156.97131618,-53.38876873,K,-1.68,64.93
141.56781397,-27.70858215,K,-0.04650301464254959,0.41048728276231017
138.14213413,-18.54115014,B,0.14210084033613443,21175.957257581063
194.34314996,-70.56016208,K,-0.04650301464254959,0.41048728276231017
146.72329996,-38.88039205,A,1.2490660592255145,22.47351699261019
223.72030211,-72.65042726,K,-0.04650301464254959,0.41048728276231017
229.5141476,-72.51496982,G,1.6839170124481337,3.06
277.3048235,-61.32391105,K,1.36,4.76
217.34800038,-72.5902996,G,1.6839170124481337,1.380038903002871
222.37893875,-72.64699217,G,2.27,2.85
150.65054522,-45.43787826,B,1.52,12.54
182.99278814,-68.04739972,K,-1.51,55.47
258.36528596,-68.8158058,F,1.19,11.53
196.19553332,-70.82233406,G,1.6839170124481337,1.380038903002871
143.95394675,-33.16629086,F,0.81,12.76
157.4322076,-53.76570133,A,1.84,10.04
288.0504146,-52.53596685,G,1.28,6.47
141.53360218,-27.47198639,G,1.6839170124481337,1.380038903002871
225.06103674,-72.59202909,F,1.9239287984742528,2.523845325227217
149.7140096,-43.89624092,F,1.9239287984742528,2.523845325227217
133.95981844,-5.69417374,B,0.14210084033613443,21175.957257581063
294.93535175,-43.39255417,G,-1.06,40.89
151.24913292,-46.16057855,M,0.1289510489510489,0.06183296843727635
154.32678206,-50.23131907,G,3.89,0.6
227.00758881,-72.52092213,F,2.52,2.52
125.20788039,21.15807023,G,3.43,0.94
249.60989516,-70.5297084,F,2.63,2.24
264.53476095,-66.99174529,G,-1.02,40.7
134.32712879,-6.79123701,K,-0.04650301464254959,0.41048728276231017
131.01752641,3.71887056,G,1.6839170124481337,1.380038903002871
197.65525305,-70.95781167,G,1.6839170124481337,1.380038903002871
134.48194325,-7.25454082,G,-2.01,105.23
289.63486194,-50.69305689,G,2.43,2.47
230.54232612,-72.38982689,K,3.71,0.57
151.41882046,-46.35949661,G,3.28,1.3
286.75137985,-53.82802208,F,2.6,2.82
141.59776323,-27.48405144,G,1.6839170124481337,1.380038903002871
282.38878842,-57.70604326,F,2.23,3.43
160.56931188,-56.50847201,K,-0.8,25.71
131.18316163,3.23780792,A,1.2490660592255145,22.47351699261019
171.9939499,-63.82255928,K,-0.04650301464254959,0.41048728276231017
287.01991884,-53.5285633,M,0.1289510489510489,0.06183296843727635
188.40831028,-69.26298381,F,1.9239287984742528,2.523845325227217
