Date,Min temp,Max temp,Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temp,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temp,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Rain Tomorrow
2021-04-1,10.7,24.0,0.0,NNE,30.0,15:28,15.7,85,0.0,SW,6,1024.5,23.5,60,0.0,NE,20,1022.1,0
2021-04-2,12.8,24.7,0.0,E,15.0,12:05,17.1,85,0.0,WSW,6,1026.3,23.8,62,0.0,E,9,1025.4,0
2021-04-3,9.7,25.7,0.0,NNE,33.0,16:21,15.4,82,0.0, ,Calm,1024.2,24.6,61,0.0,NE,24,1019.6,0
2021-04-4,11.6,27.8,0.0,SW,19.0,09:15,20.6,69,0.0,WSW,9,1018.0,25.2,64,0.0,ENE,13,1015.7,0
2021-04-5,16.4,23.0,0.0,SSE,22.0,09:41,21.3,76,8.0,SSW,11,1021.3,22.2,76,8.0,SSE,13,1020.0,0
2021-04-6,18.1,22.8,8.6,NE,20.0,17:53,19.9,91,8.0,SW,9,1022.9,22.3,80,7.0,E,11,1020.7,1
2021-04-7,16.8,24.1,11.8,ENE,20.0,14:19,21.0,84,0.0,SW,9,1020.2,23.6,72,0.0,NE,15,1016.4,1
2021-04-8,13.6,24.4,0.0,NNE,33.0,16:19,20.0,83,0.0,SSW,6,1013.5,23.5,73,0.0,NE,22,1008.3,0
2021-04-9,15.1,23.7,0.0,SSE,44.0,13:17,18.1,83,8.0,SSW,9,1003.5,19.9,67,8.0,SSE,20,1002.8,0
2021-04-10,12.5,19.9,0.2,NW,24.0,21:41,14.9,67,8.0,WSW,7,1005.9,19.2,56,1.0,ESE,13,1003.4,0
2021-04-11,8.2,19.2,0.0,SW,52.0,11:11,14.8,43,0.0,W,17,1008.2,18.9,26,2.0,SW,31,1008.7,0
2021-04-12,8.1,20.6,0.0,SW,35.0,00:27,15.7,39,0.0,SW,19,1018.6,19.3,37,4.0,WSW,13,1017.7,0
2021-04-13,7.0,21.4,0.0,NNE,35.0,16:21,15.9,54,0.0,NW,6,1022.1,19.5,49,0.0,NE,24,1016.3,0
2021-04-14,13.1,27.4,0.0,NNW,39.0,04:14,20.4,30,8.0,NW,15,1011.7,26.7,24,0.0,WNW,20,1008.5,0
2021-04-15,8.5,22.3,0.0,NE,28.0,16:03,16.9,58,0.0,SSW,9,1014.5,22.0,47,0.0,NE,20,1010.6,0
2021-04-16,9.4,19.3,0.0,SE,31.0,12:22,16.3,56,0.0,SSW,15,1021.9,18.5,47,0.0,SSE,17,1021.7,0
2021-04-17,9.6,19.6,0.0,SSE,28.0,20:14,14.7,72,8.0,SW,9,1024.2,18.7,62,1.0,SE,15,1021.5,0
2021-04-18,9.4,19.4,0.0,ENE,19.0,11:56,15.7,67,0.0,SW,9,1022.6,18.7,54,0.0,E,13,1018.9,0
2021-04-19,9.8,21.2,0.0,ENE,24.0,11:43,16.2,66,0.0,WNW,7,1017.7,20.6,47,0.0,ENE,13,1013.9,0
2021-04-20,7.6,22.3,0.0,SSW,37.0,23:57,17.6,53,0.0,WNW,9,1013.1,21.4,43,0.0,NE,17,1008.2,0
2021-04-21,9.1,19.4,0.0,SSW,35.0,00:08,14.9,43,0.0,SW,17,1013.6,18.4,44,0.0,S,13,1013.4,0
2021-04-22,4.7,20.6,0.0,S,26.0,10:49,13.9,55,0.0,W,11,1011.7,19.0,38,0.0,NE,15,1009.9,0
2021-04-23,4.4,20.6,0.0,NE,30.0,13:12,15.7,49,0.0,W,11,1016.5,20.0,41,0.0,NE,24,1014.9,0
2021-04-24,7.3,19.8,0.0,E,22.0,13:40,14.9,63,0.0,SW,9,1022.0,19.3,54,0.0,ENE,15,1019.5,0
2021-04-25,9.8,19.9,0.0,SW,20.0,07:33,15.5,71,0.0,SW,9,1024.7,19.1,47,0.0,ESE,15,1022.4,0
2021-04-26,8.2,19.9,0.0,WSW,19.0,01:36,16.2,65,0.0,SSW,4,1025.7,19.3,57,0.0,ESE,11,1023.4,0
2021-04-27,11.3,19.7,0.0,ESE,20.0,11:36,15.5,74,8.0,W,9,1028.1,19.1,60,0.0,ESE,13,1025.6,0
2021-04-28,11.9,21.3,0.0,NE,28.0,13:58,17.4,72,0.0,WNW,7,1025.9,20.5,64,0.0,NE,19,1022.7,0
2021-04-29,9.3,20.3,0.0,SE,19.0,12:34,15.2,82,0.0,SW,4,1024.4,19.9,68,0.0,ESE,11,1023.0,0
2021-04-30,9.4,21.3,0.0,ENE,26.0,13:17,14.5,91,0.0,SW,7,1028.7,21.2,66,0.0,NE,19,1026.7,0
2021-01-1,18.5,22.9,0.0,SE,28.0,11:09,20.6,56,8.0,SE,13,1023.3,21.4,55,8.0,ESE,19,1021.5,0
2021-01-2,13.7,21.7,0.0,NE,37.0,22:38,18.1,76,8.0,W,6,1017.4,20.9,62,8.0,NE,15,1014.3,0
2021-01-3,17.2,22.4,27.8,NNE,39.0,12:40,18.3,97,8.0, ,Calm,1010.0,21.1,92,8.0,NNE,26,1007.3,1
2021-01-4,17.1,23.9,2.0,SSE,35.0,14:04,21.8,90,0.0,E,6,1005.4,22.0,89,7.0,SSE,22,1005.0,1
2021-01-5,17.2,24.1,15.4,SSE,41.0,18:14,21.1,75,8.0,SW,4,1008.7,21.9,76,8.0,E,13,1007.1,1
